"HolderAddress","Balance"
"0x0b50b2ee16013c23a88dd6479051558fa403955b","45372504.2751416"
"0x106f10980b39b5447b6fe7fdd5fed966791ddeac","121596995.746147"
"0x14650e9f3916866722a410f7dab5d6aaf4243dda","291732631.631057"
"0x1881f410cf06c1a2a7993328babb4bb1ba0e6d43","161171182.129667"
"0x1916f10ec537863f0ae4c2ac713e168fafa65295","2292231009.05018"
"0x19b2e22bb729a8bad5ed6daeb8bb6005ce049b8b","17132387.3092052"
"0x1cab31c39eff162656174d1fe1e5c3421e5ecbaa","179841362.144703"
"0x1cdf356937a50e8468bcc9f572e4bcda89b10ab7","2069448383.41546"
"0x1d647d30aacf2030a6ced066056137330caef18b","219255374.275308"
"0x1e27c17432abff8e314b421be50c63a42d3e95e0","125222154.621714"
"0x22a6eee2c4db9957e18a5ee4736b92702e4311fc","11539668250.6403"
"0x24af272dc1aae01ff6a0151fb5fca3f100c5b29b","4000000000"
"0x277076774bfd00612f64d0cdf4be70a47ae26913","39340842.0669478"
"0x2faacbd1a3c6045c42a587092cf9a21360a3337d","220174722.09119"
"0x2fcfdecb0889ce743fa793bb8c70411a71fca4e9","12768955517.1155"
"0x3131cda50b3c12a7dafe5e3fcb9b4fdc54745682","240747344.171868"
"0x3e9e2df28826856a51c9eabb3d4e5f80474d3103","39820729.2851743"
"0x45af66ef9eb1e505077551df87b2e95d7481018c","688804652.255665"
"0x45fd07c63e5c316540f14b2002b085aee78e3881","2347673990.84274"
"0x4b671eb58b63815886d2ad998736cf212f90c538","127935700.241052"
"0x4d1d797979e5063df11f4482d3e29d8be7789763","19139200"
"0x57b85ec48b6c8acf7fc396d459d1c71f8a6064bf","2833161665.00925"
"0x5bff48771d3913b37290413a51116a27263bf696","143075190.306408"
"0x5f49d57ad20e117ed5c31ec6d7461946190ecab1","156681898.764148"
"0x64a52e0c2bafbb49c8d8e59772c8f8d858947ae8","910238441.270445"
"0x77327a1df09f0489da1ecbd19340a8100df3bf33","7962786655.57017"
"0x77b4d2a11aaa6af2937220d23788141297916eea","42147265.7177198"
