"Name","ACT  ","MSG  ","AD  ","DSJ  ","REP ","Joined","Last message"
"Joey Zasa","13.27%","70","3","2","0","2021-04-22","2021-04-24"
"DOGGOTOTHEMOON","11.39%","92","2","2","0","2021-04-22","2021-04-23"
"ouz","9.03%","40","1","1","0","2021-04-22","2021-04-22"
"Chase Curtis","8.15%","59","1","0","0","2021-04-22","2021-04-22"
"Space Man","6.91%","61","1","0","1","2021-04-22","2021-04-22"
"RAIN MAN","6.74%","47","1","0","0","2021-04-22","2021-04-22"
"Johnny Mnemonic","6.68%","36","1","0","0","2021-04-22","2021-04-22"
"KL","5.06%","35","1","0","0","2021-04-22","2021-04-22"
"Leonardo","3.99%","83","3","2","0","2021-04-22","2021-04-24"
"Dr Eric FarmFace","3.57%","24","1","0","1","2021-04-22","2021-04-22"
"David - Optimus","2.96%","34","2","1","0","2021-04-22","2021-04-23"
"Crip Toe","2.19%","10","1","0","0","2021-04-22","2021-04-22"
"Doulzy","1.97%","10","1","0","0","2021-04-22","2021-04-22"
"Maxi | Turing Research Network","1.69%","13","3","1","0","2021-04-22","2021-04-24"
"Willy ""Mezouzed"" Whalestein - 1st of the name","1.3%","23","1","1","0","2021-04-22","2021-04-22"
"TRID3NT","1.26%","9","1","0","0","2021-04-22","2021-04-22"
"Hero Saitama 👊🏻✔️","1.25%","28","1","0","0","2021-04-22","2021-04-22"
"Rob G","1.24%","9","1","1","0","2021-04-22","2021-04-22"
"KD","1.13%","15","1","0","1","2021-04-22","2021-04-22"
"Marius","0.82%","12","2","1","0","2021-04-22","2021-04-23"
"CROME","0.77%","4","2","1","0","2021-04-22","2021-04-23"
"Andres","0.57%","5","2","1","0","2021-04-22","2021-04-23"
"WILL SMITH","0.54%","2","2","1","0","2021-04-22","2021-04-23"
"Johnny Walker","0.53%","9","1","0","0","2021-04-22","2021-04-22"
"S A","0.45%","6","1","1","0","2021-04-22","2021-04-22"
"Passionfruit Papi","0.43%","6","1","0","0","2021-04-22","2021-04-22"
"X","0.42%","4","1","0","0","2021-04-22","2021-04-22"
"Hot Cakes","0.35%","2","1","0","0","2021-04-22","2021-04-22"
"Gotbuds","0.34%","2","1","0","0","2021-04-22","2021-04-22"
"Apparent","0.33%","10","1","0","0","2021-04-22","2021-04-22"
"Neil Armstrong","0.33%","5","1","0","0","2021-04-22","2021-04-22"
"CRYPTO BILLIONAIRE $DEFI GOD MARIUS [100-40000% 💎 Sniffer ] Ξ Early launch supporter","0.26%","7","1","0","0","2021-04-22","2021-04-22"
"Konkong","0.24%","4","2","1","0","2021-04-22","2021-04-23"
"Frederick Gaston","0.18%","6","2","1","0","2021-04-22","2021-04-23"
"Henry","0.17%","3","1","0","0","2021-04-22","2021-04-22"
"coinguy","0.16%","2","1","0","0","2021-04-22","2021-04-22"
"TGRIFF","0.15%","2","1","0","0","2021-04-22","2021-04-22"
"Crypto King","0.14%","5","1","0","0","2021-04-22","2021-04-22"
"Uniswap Athlete","0.14%","3","1","0","0","2021-04-22","2021-04-22"
"Xunov","0.11%","1","1","1","0","2021-04-22","2021-04-23"
"CryptoMatt87","0.11%","2","1","0","0","2021-04-22","2021-04-22"
"Crypto Morgz","0.09%","2","1","0","0","2021-04-22","2021-04-22"
"Chameleon Leather","0.08%","2","1","0","0","2021-04-22","2021-04-22"
"Sebastian R","0.08%","4","1","0","0","2021-04-22","2021-04-22"
"RR","0.08%","1","1","0","0","2021-04-22","2021-04-22"
"Jeremiah W","0.07%","1","1","0","0","2021-04-22","2021-04-22"
"Noda Chicken","0.05%","1","1","0","0","2021-04-22","2021-04-22"
"Lincoln M","0.04%","1","1","1","0","2021-04-22","2021-04-23"
"terryg","0.04%","2","1","0","0","2021-04-22","2021-04-22"
"Martin","0.03%","3","1","0","0","2021-04-22","2021-04-22"
"Max (Will not DM first)","0.03%","1","1","0","0","2021-04-22","2021-04-22"
"Dogeme ","0.03%","1","1","0","0","2021-04-22","2021-04-22"
"Crypto Corleone","0.0%","1","1","0","0","2021-04-22","2021-04-22"
"Korale $ZEP","0.0%","1","1","0","0","2021-04-22","2021-04-22"
"A O","1.26%","10","1","0","0","2021-04-23","2021-04-23"
"Dylan","0.56%","6","1","0","0","2021-04-23","2021-04-23"
"Tyler Durden","0.23%","5","1","0","0","2021-04-23","2021-04-23"
"Kazuma K.","0.03%","1","1","0","0","2021-04-23","2021-04-23"
