"Name","ACT  ","MSG  ","AD  ","DSJ  ","REP ","Joined","Last message"
"Ricky Rozay","11.51%","74","3","2","0","2021-04-22","2021-04-24"
"DOGGOTOTHEMOON","9.85%","96","3","3","0","2021-04-22","2021-04-24"
"Chase Curtis","7.92%","64","2","3","0","2021-04-22","2021-04-25"
"ouz","7.65%","40","1","1","0","2021-04-22","2021-04-22"
"Space Man","5.85%","61","1","0","1","2021-04-22","2021-04-22"
"RAIN MAN","5.71%","47","1","0","0","2021-04-22","2021-04-22"
"Johnny Mnemonic","5.66%","36","1","0","0","2021-04-22","2021-04-22"
"Marius","4.86%","30","4","3","0","2021-04-22","2021-04-25"
"KL","4.35%","36","2","2","0","2021-04-22","2021-04-24"
"Leonardo","3.48%","88","3","2","0","2021-04-22","2021-04-24"
"Dr Eric FarmFace","3.03%","24","1","0","1","2021-04-22","2021-04-22"
"A.R.","2.97%","1","1","2","0","2021-04-22","2021-04-24"
"David - Optimus","2.5%","34","2","1","0","2021-04-22","2021-04-23"
"Crip Toe","1.86%","10","1","0","0","2021-04-22","2021-04-22"
"Doulzy","1.74%","13","2","2","0","2021-04-22","2021-04-25"
"A O","1.73%","16","2","1","0","2021-04-23","2021-04-24"
"Rob G","1.62%","13","2","3","0","2021-04-22","2021-04-24"
"Maxi | Turing Research Network","1.43%","13","3","1","0","2021-04-22","2021-04-24"
"bl10buer","1.21%","1","1","0","0","2021-04-25","2021-04-25"
"Willy ""Mezouzed"" Whalestein - 1st of the name","1.1%","24","2","4","0","2021-04-22","2021-04-26"
"Hero Saitama 👊🏻✔️","1.06%","28","1","0","0","2021-04-22","2021-04-22"
"TRID3NT","1.06%","9","1","0","0","2021-04-22","2021-04-22"
"KD","0.96%","15","1","0","1","2021-04-22","2021-04-22"
"TheGemFinderPt2","0.93%","7","2","0","0","2021-04-25","2021-04-26"
"Kazuma K.","0.93%","6","2","2","0","2021-04-23","2021-04-25"
"BIG FOOT","0.81%","3","1","0","0","2021-04-25","2021-04-25"
"CROME","0.65%","4","2","1","0","2021-04-22","2021-04-23"
"Noâm","0.61%","11","1","0","0","2021-04-24","2021-04-24"
"Xunov","0.53%","6","2","2","1","2021-04-22","2021-04-24"
"WILL SMITH","0.48%","3","3","2","0","2021-04-22","2021-04-24"
"Andres","0.48%","5","2","1","0","2021-04-22","2021-04-23"
"Dylan","0.47%","6","1","0","0","2021-04-23","2021-04-23"
"Johnny Walker","0.45%","9","1","0","0","2021-04-22","2021-04-22"
"S A","0.38%","6","1","1","0","2021-04-22","2021-04-22"
"Passionfruit Papi","0.37%","6","1","0","0","2021-04-22","2021-04-22"
"X","0.36%","4","1","0","0","2021-04-22","2021-04-22"
"Hot Cakes","0.29%","2","1","0","0","2021-04-22","2021-04-22"
"Apparent","0.28%","10","1","0","0","2021-04-22","2021-04-22"
"Neil Armstrong","0.28%","5","1","0","0","2021-04-22","2021-04-22"
"Gotbuds","0.28%","2","1","0","0","2021-04-22","2021-04-22"
"mister?","0.25%","3","1","0","0","2021-04-24","2021-04-24"
"CRYPTO BILLIONAIRE $DEFI GOD MARIUS [100-40000% 💎 Sniffer ] Ξ Early launch supporter","0.22%","7","1","0","0","2021-04-22","2021-04-22"
"Konkong","0.2%","4","2","1","0","2021-04-22","2021-04-23"
"Tyler Durden","0.19%","5","1","0","0","2021-04-23","2021-04-23"
"Frederick Gaston","0.15%","6","2","1","0","2021-04-22","2021-04-23"
"Henry","0.14%","3","1","0","0","2021-04-22","2021-04-22"
"coinguy","0.14%","2","1","0","0","2021-04-22","2021-04-22"
"TGRIFF","0.13%","2","1","0","0","2021-04-22","2021-04-22"
"Crypto King","0.12%","5","1","0","0","2021-04-22","2021-04-22"
"Uniswap Athlete","0.12%","3","1","0","0","2021-04-22","2021-04-22"
"CryptoMatt87","0.09%","2","1","0","0","2021-04-22","2021-04-22"
"Crypto Morgz","0.07%","2","1","0","0","2021-04-22","2021-04-22"
"Chameleon Leather","0.07%","2","1","0","0","2021-04-22","2021-04-22"
"Sebastian R","0.07%","4","1","0","0","2021-04-22","2021-04-22"
"RR","0.07%","1","1","0","0","2021-04-22","2021-04-22"
"Jeremiah W","0.06%","1","1","0","0","2021-04-22","2021-04-22"
"Lincoln M","0.04%","1","1","1","0","2021-04-22","2021-04-23"
"Noda Chicken","0.04%","1","1","0","0","2021-04-22","2021-04-22"
"terryg","0.03%","2","1","0","0","2021-04-22","2021-04-22"
"Dogeme ","0.03%","1","1","0","0","2021-04-22","2021-04-22"
"Martin","0.02%","3","1","0","0","2021-04-22","2021-04-22"
"Max (Will not DM first)","0.02%","1","1","0","0","2021-04-22","2021-04-22"
"Socom","0.0%","1","1","2","0","2021-04-22","2021-04-24"
"Crypto Corleone","0.0%","1","1","0","0","2021-04-22","2021-04-22"
"Korale $ZEP","0.0%","1","1","0","0","2021-04-22","2021-04-22"
