"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x000000005736775feb0c8568e7dee77222a26880","1E-18","No"
"0x000000005804b22091aa9830e50459a15e7c9241","1E-18","No"
"0x02023798e0890ddebfa4cc6d4b2b05434e940202","1E-18","No"
"0x02749e9d50eddcc43ab7ee2ad151d234e9001912","230193184.651681","No"
"0x0326919b6c599b8e7b71298eda4c95436d3e12f9","288978141.765543","No"
"0x047e6955a24c9017a48ba5eeca674b51ffc8e191","3256352844","No"
"0x09c809b26fd9be2b64b284dc52a90b94edd47144","6000000000","No"
"0x152072bf08f2f37ec5327e26e8d6051152b63af2","679419271.921948","No"
"0x1831f128d0efc1cda0fa104b08ad14a3fcb42af4","2100000000","No"
"0x1881f410cf06c1a2a7993328babb4bb1ba0e6d43","750170264.907065","No"
"0x1916f10ec537863f0ae4c2ac713e168fafa65295","2876562788.62469","No"
"0x1c17a23900a0436ba04952c6d23ee2e1f70e98be","18888888","No"
"0x1cdf356937a50e8468bcc9f572e4bcda89b10ab7","2069448383.41546","No"
"0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d","1E-18","No"
"0x1ebf39a26111cda04569c8d3b7ac25a43f17172c","407762863.002539","No"
"0x22a6eee2c4db9957e18a5ee4736b92702e4311fc","4529859492.64029","No"
"0x22ae2a3ddd39781e2b2de836f46773eabe78b7ae","25105444.83813","No"
"0x23e9439534c4591a5ad63b6712bd3396e5dfa370","63012116.4412721","No"
"0x277076774bfd00612f64d0cdf4be70a47ae26913","39340842.0669478","No"
"0x27d771bf0e1d5cb0f3b4a837c8e29f02ba8c8868","8.43193596597E-07","No"
"0x29477a93e19f6c0469cb90bfd96123c6646ab443","245921411.602129","No"
"0x2fcfdecb0889ce743fa793bb8c70411a71fca4e9","6768955517.11552","No"
"0x2fe5b3e5e1e72a6aafac440ee6a3a0db63fd8391","131963707.514101","No"
"0x3131cda50b3c12a7dafe5e3fcb9b4fdc54745682","240747344.171868","No"
"0x322491a20ed9db6e221c2b977697576bcb8bcc3d","111058354.291236","No"
"0x32bf58298dd2302411750d5ca68d55ee4b1f3e37","4277643.20709153","No"
"0x32d0074a9906cefc16207b2679a2203401098081","5045126.34860159","No"
"0x359982f4cfa59ade3f248c0427e044cba599402f","121624160.480024","No"
"0x442747e725d0e1d1fe46c3635f8e01253b6d1ec7","2211841548.22899","No"
"0x45fd07c63e5c316540f14b2002b085aee78e3881","2347673990.84274","No"
"0x4d1d797979e5063df11f4482d3e29d8be7789763","19139200","No"
"0x534a046f5e0eec65e64e5e3ee74c09a8183e6087","154870732.097028","No"
"0x56c1c1c1dd17cbc4e992f832c6d63db53d7ae41e","158090000","No"
"0x575c3a99429352eda66661fc3857b9f83f58a73f","1E-18","No"
"0x5bff48771d3913b37290413a51116a27263bf696","143075190.306408","No"
"0x5e00692612cfb0b3cdc0bc2ab41bd05f384cd037","264720449.354224","No"
"0x5e4b4bec205c2e9e9778f9fe92fc002e5e50746a","154181174.83222","No"
"0x5f49d57ad20e117ed5c31ec6d7461946190ecab1","156681898.764148","No"
"0x64a52e0c2bafbb49c8d8e59772c8f8d858947ae8","910238441.270445","No"
"0x6a3918cc11fe8c37097846c6eb5a0655d57e8a85","138885736.97938","No"
"0x70c4a486fb96433775a06d58a16429ee4fcfd6e4","2708073751.98984","No"
"0x77327a1df09f0489da1ecbd19340a8100df3bf33","4510000000.57017","No"
"0x7c9f6b5707fa8177984dfdc99d31ced563671f83","320451967.733888","No"
"0x7ea7b0ed3b271880d37f2f58d3a0334488084a8f","75684012.2556733","No"
"0x81be7b2c6cbdc226dbef5241d2380eab027f7ffc","117518753.937955","No"
"0x841fc79443e3ae96b717c7acab9268da0722bf2a","29210474.2127572","No"
"0x850527bc833ada8bd7c1f316ea5ca0b422ceb800","150000000","No"
"0x8723af66e4377df827b9135b8bca3d4352d0f130","462032701.725142","No"
"0x897cf008f5f4d53011232fb3c77b6d373983d858","3316438515.93866","No"
"0x8b6250bab1a60232e4154ab1f2ee7f5df2a9c151","712027924.879554","No"
"0x8bfff78edbfa534fe52dd87d945dac9a671957ae","36180325.9762135","No"
"0x8c50d12cf94b151d33275381a511c8cf759dcadd","153464050.168092","No"
"0x8c93bc0ccc2824964860cba99eabad54b82e4960","279437662.879219","No"
"0x90d9f88b901cf0b282bafaacbcca9be09d3cee69","1019195417.40115","No"
"0x939f5cd7aeb98c97806fed124b370c6830551dfd","1181353172.56631","No"
"0x954edfbfb2fd9e4ad12892a0d5783560d53aee28","298840187.141382","No"
"0x97f0cc8499d1d87b367b54a8718055bb42d72fe8","1128753847.4859","No"
"0x98d666a0a3e30399ee617fa7c9ba6d3ae003b8e6","2866222878.60169","No"
"0x9900d3eb55796f21a5a9a98684a9e18363a628e1","3452786655","No"
"0x99ddc55713cd123ea8609c7ffc49bf45d91f4b24","85991336.8640715","No"
"0x9bf59005baeaecaa3db4d75dedacc445b31af0f9","48032125.8761732","No"
"0x9df53ded25dbf14de92ca6f25b5776d29aa471c2","113811403.705544","No"
"0xa11301f9988c09e813334011ba7de2ebc4902b81","543141069.368674","No"
"0xa18aa7d05f50b3c013c3de9ae63217a78e40859f","124262334.268809","No"
"0xa1c71dd36b10009012b01b9e82f9b749286f12c6","1000000000","No"
"0xa2207eb24960bab16c6896cc522405d4c9fc4e68","7699118.3559651","No"
"0xa290ce9d436c702813140c670dda357e76b8e6b6","11104690.6773887","No"
"0xa47e39776a6e027d48b53449d2197229aba6ee55","40000000","No"
"0xa4d85f917ded0e2501b9d15ab126f1551502acb1","95969688.3619947","No"
"0xa51145675daa39707a3476d7f26868220c7ac9d3","113026852.658293","No"
"0xa574225ffa9b40db38d387b041484c0c1a499098","269725237.171405","No"
"0xa8c7aa48e15b5338ea174ee201dbefbab017385e","296649405.4518","No"
"0xae2fed09ddf0c088b3db1a840117305ab63c28e3","488874473.063701","No"
"0xb1100689e3485d40a12b50c917bb737bf35eea3a","54470123.1817158","No"
"0xb81382e84ed6583b3a879fd14b39e7bdc8a3b9a1","1761188835.34938","No"
"0xb95b31088b131e587d4a8bdcf7fbadbc6b15b241","8584788.97851108","No"
"0xba8250a68ab4d6f1789be36f468634b1bccfa292","37239408.6384614","No"
"0xbf0f79932e3e136a0a948fd6a8aa4ca8ccfe0ee1","14088813968.7686","No"
"0xbf6d406d6a33b2ecf00d2358746ac465bcd90651","276890200.863528","No"
"0xc04ce4ba9bfb434479b58b9fe83112e0931d09cf","218836527.433238","No"
"0xc364ecdd91e313b33afb4d015ac42fd8a8456f37","5334848212.71141","No"
"0xc3b8c818379ba5e82a66ae0969146562115918dc","149548344.09916","No"
"0xd00eaecca2d3fd79be24dbf72c92e19be57af666","119510749.801105","No"
"0xd5ba22c2323f65616860b0521eab5929549db4d9","1420000069","No"
"0xdbf30c8169763b0d7c3e62eb69c05f1d9d143395","178345048.429472","No"
"0xdf79d1b6885efd2e56c1bfabe7641d1a6f29c0bd","177908725.138159","No"
"0xe31b21005f3417cc30438106d60e3bd5a6721345","800000000","No"
"0xe4be14ad164c19b4a0165a9dcb363f05d3683ec9","461436291.87384","No"
"0xe7494880c0e2ec76c0304d625d7ae58a32b93428","2089714386.37156","No"
"0xedfda531b7c7994cf0c9732e1abb37da99f2f1b4","733331794.730371","No"
"0xee01edf47fa564968651945fe9a9bfec94222594","50000000","No"
"0xee2ef641756080fb07a358fe1cae51e4748f4593","31692727.4821791","No"
"0xef028a4c84a69f54f01f0e671bec293c8f04fc6a","101151266.140392","No"
"0xf13e49f2e33648f951dec644547e89f62f51e82c","44741452.7469429","No"
"0xf422c173264dcd512e3cee0db4acb568707c0b8d","4528289482.4609","No"
"0xf8d184723887b3914587a6e7d0757c4026af1640","467876618.77349","No"
"0xfa7655d3ec2446eccc375adedca83b634ec9bf36","35739822.8541849","No"
"0xfc4d7cdf09fa9a8d2fc8c428fb6bd30aa93fc76e","1703012327.625","No"
"0xfc8e3819c2df3638fc91a06d4239a5d3acf16947","43677919.4875631","No"
"0xff40eac9cd4bceac511bd1f0a16e985e51665cbc","31017652.4239244","No"
"0xffc935b151432cea4d0ca69a72c8b58a38028b56","1290075805.03974","No"
"0xfff302f4052a352c6862782cc50fe85ad13707f9","82011259.6280492","No"
